Field_name,Field_Profile_number,Horizon_number,Easting,Northing,measured_yield,Yield_kg_per_ha,height,SAND,SILT,CLAY,Upper_depth,Lower_depth,Thickness,KA5,SOC,BD
Boosen,32,2,464255,5805375,57.36875153,5737,50.65113068,70.96458393,19.09101284,9.944403226,30,60,30,SL3,0.258377222,1.461714482
Boosen,32,3,464255,5805375,57.36875153,5737,50.65113068,70.12812838,17.15681019,12.71506144,60,90,30,SL4,0.099213583,1.485969505
Boosen,32,4,464255,5805375,57.36875153,5737,50.65113068,70.12812838,17.15681019,12.71506144,90,200,110,SL4,0.099213583,1.485969505
Boosen,33,1,464265,5805375,53.16466904,5316,50.69631195,71.64970234,20.5416409,7.80865676,0,30,30,SL3,1.067199273,1.343185713
Boosen,33,2,464265,5805375,53.16466904,5316,50.69631195,71.99379865,18.70152699,9.304674364,30,60,30,SL3,0.317021854,1.45344869
Boosen,33,3,464265,5805375,53.16466904,5316,50.69631195,71.42730062,16.00731193,12.56538745,60,90,30,SL4,0.144453861,1.479569222
Boosen,33,4,464265,5805375,53.16466904,5316,50.69631195,71.42730062,16.00731193,12.56538745,90,200,110,SL4,0.144453861,1.479569222
Boosen,34,1,464195,5805365,78.55517578,7856,51.4683876,72.68491619,21.98849868,5.326585123,0,30,30,SL2,0.818311201,1.38000656
Boosen,34,2,464195,5805365,78.55517578,7856,51.4683876,73.08705463,20.48570289,6.427242485,30,60,30,SL2,0.463817891,1.432683468
Boosen,34,3,464195,5805365,78.55517578,7856,51.4683876,74.63142155,16.07393057,9.294647877,60,90,30,SL3,0.129049214,1.486622712
Boosen,34,4,464195,5805365,78.55517578,7856,51.4683876,74.63142155,16.07393057,9.294647877,90,200,110,SL3,0.129049214,1.486622712
Boosen,35,1,464205,5805365,77.97266388,7797,51.42479324,72.36576912,22.54024184,5.093989032,0,30,30,SL2,0.852861496,1.374921253
Boosen,35,2,464205,5805365,77.97266388,7797,51.42479324,72.83142508,21.37182554,5.796749382,30,60,30,SL2,0.609117632,1.410582392
Boosen,35,3,464205,5805365,77.97266388,7797,51.42479324,74.54706264,17.31606296,8.136874406,60,90,30,SL3,0.16006585,1.481959771
Boosen,35,4,464205,5805365,77.97266388,7797,51.42479324,74.54706264,17.31606296,8.136874406,90,200,110,SL3,0.16006585,1.481959771
Boosen,36,1,464215,5805365,80.16649628,8017,51.38776398,72.47139053,22.3135208,5.215088673,0,30,30,SL2,0.823339862,1.379158929
Boosen,36,2,464215,5805365,80.16649628,8017,51.38776398,73.05205166,21.02230411,5.925644226,30,60,30,SL2,0.235891394,1.469276082
Boosen,36,3,464215,5805365,80.16649628,8017,51.38776398,75.18097813,16.21228681,8.606735065,60,90,30,SL3,0.126514826,1.487880866
Boosen,36,4,464215,5805365,80.16649628,8017,51.38776398,75.18097813,16.21228681,8.606735065,90,200,110,SL3,0.126514826,1.487880866
Boosen,37,1,464225,5805365,80.25174713,8025,51.25824738,71.92438395,21.74599782,6.329618234,0,30,30,SL2,0.861748846,1.3726384
Boosen,37,2,464225,5805365,80.25174713,8025,51.25824738,72.37458525,20.06822016,7.55719459,30,60,30,SL3,0.51153048,1.424107527
Boosen,37,3,464225,5805365,80.25174713,8025,51.25824738,73.80928475,17.43292464,8.757790609,60,90,30,SL3,0.234863082,1.468639795
Boosen,37,4,464225,5805365,80.25174713,8025,51.25824738,73.80928475,17.43292464,8.757790609,90,200,110,SL3,0.234863082,1.468639795
Boosen,38,1,464235,5805365,79.0839386,7908,51.12939453,72.56381528,21.0504983,6.385686415,0,30,30,SL2,0.864563459,1.372765993
Boosen,38,2,464235,5805365,79.0839386,7908,51.12939453,73.21094792,19.25440073,7.534651349,30,60,30,SL3,0.447789429,1.43471451
Boosen,38,3,464235,5805365,79.0839386,7908,51.12939453,73.78965473,17.53174292,8.678602354,60,90,30,SL3,0.184936562,1.476889128
Boosen,38,4,464235,5805365,79.0839386,7908,51.12939453,73.78965473,17.53174292,8.678602354,90,200,110,SL3,0.184936562,1.476889128
Boosen,39,1,464245,5805365,68.11598969,6812,51.06424332,71.53029219,20.97175632,7.497951493,0,30,30,SL2,0.908659886,1.365077469
Boosen,39,2,464245,5805365,68.11598969,6812,51.06424332,71.8743885,19.1403948,8.985216693,30,60,30,SL3,0.573293513,1.413510271
Boosen,39,3,464245,5805365,68.11598969,6812,51.06424332,71.70428024,16.22997768,12.06574208,60,90,30,SL4,0.153901484,1.47848942
Boosen,39,4,464245,5805365,68.11598969,6812,51.06424332,71.70428024,16.22997768,12.06574208,90,200,110,SL4,0.153901484,1.47848942
Boosen,40,1,464255,5805365,64.15014648,6415,51.04193878,71.8390105,19.48488894,8.676100557,0,30,30,SL3,0.914672447,1.36389454
Boosen,40,2,464255,5805365,64.15014648,6415,51.04193878,72.11716599,17.99780218,9.885031837,30,60,30,SL3,0.447789429,1.432550605
Boosen,40,3,464255,5805365,64.15014648,6415,51.04193878,72.4302308,15.95200771,11.61776149,60,90,30,SL4,0.184936562,1.474190415
Boosen,40,4,464255,5805365,64.15014648,6415,51.04193878,72.4302308,15.95200771,11.61776149,90,200,110,SL4,0.184936562,1.474190415
Boosen,41,1,464265,5805365,59.34091949,5934,51.01476669,72.2943335,21.03740151,6.668264997,0,30,30,SL2,1.054537099,1.346049366
Boosen,41,2,464265,5805365,59.34091949,5934,51.01476669,72.92513515,19.40012494,7.674739911,30,60,30,SL3,0.258377222,1.464589667
Boosen,41,3,464265,5805365,59.34091949,5934,51.01476669,74.8662229,15.620663,9.513114099,60,90,30,SL3,0.099213583,1.491738973
Boosen,41,4,464265,5805365,59.34091949,5934,51.01476669,74.8662229,15.620663,9.513114099,90,200,110,SL3,0.099213583,1.491738973
Boosen,42,1,464195,5805355,78.13673401,7814,51.92315674,73.03677486,21.31823867,5.644986473,0,30,30,SL2,0.828395515,1.378705338
Boosen,42,2,464195,5805355,78.13673401,7814,51.92315674,73.58348911,19.58714569,6.829365199,30,60,30,SL2,0.447789429,1.435402346
Boosen,42,3,464195,5805355,78.13673401,7814,51.92315674,75.06286886,16.16067375,8.776457388,60,90,30,SL3,0.184936562,1.477944637
Boosen,42,4,464195,5805355,78.13673401,7814,51.92315674,75.06286886,16.16067375,8.776457388,90,200,110,SL3,0.184936562,1.477944637
Boosen,43,1,464205,5805355,75.62192535,7562,51.90340042,71.93734206,20.22640383,7.836254109,0,30,30,SL3,0.831328825,1.376199738
Boosen,43,2,464205,5805355,75.62192535,7562,51.90340042,72.39937805,18.26098607,9.339635886,30,60,30,SL3,0.25862286,1.463233171
Boosen,43,3,464205,5805355,75.62192535,7562,51.90340042,73.48974825,15.09189418,11.41835757,60,90,30,SL3,0.109967175,1.487744192
Boosen,43,4,464205,5805355,75.62192535,7562,51.90340042,73.48974825,15.09189418,11.41835757,90,200,110,SL3,0.109967175,1.487744192
Boosen,44,1,464215,5805355,76.06791687,7607,51.84827805,71.94318702,21.67558513,6.381227846,0,30,30,SL2,0.790957966,1.38274712
Boosen,44,2,464215,5805355,76.06791687,7607,51.84827805,72.47546094,19.99813229,7.526406766,30,60,30,SL3,0.242510185,1.466865447
Boosen,44,3,464215,5805355,76.06791687,7607,51.84827805,73.90369098,17.01686106,9.07944796,60,90,30,SL3,0.111140268,1.489113855
Boosen,44,4,464215,5805355,76.06791687,7607,51.84827805,73.90369098,17.01686106,9.07944796,90,200,110,SL3,0.111140268,1.489113855
Boosen,45,1,464225,5805355,80.25505066,8026,51.72289276,72.00630698,21.56656313,6.427129889,0,30,30,SL2,0.859665135,1.372954712
Boosen,45,2,464225,5805355,80.25505066,8026,51.72289276,72.62603801,19.76006817,7.61389382,30,60,30,SL3,0.141635618,1.483639031
Boosen,45,3,464225,5805355,80.25505066,8026,51.72289276,73.86592702,17.21483149,8.919241483,60,90,30,SL3,0.072623285,1.495684397
